PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,LATITUDE,LONGITUDE,MEDIAN_INCOME,GROWTH,POP_SIZE,POP_AGE,BLACK_POP,IMMIGRANTS,POP_GROWTH
1,Fort Gaines,6,39851,227900.0,4.0,2.0,2240.0,98881.0,2005.0,80.0,31.741632,-85.05057,867.0,807.0,1800.0,49.7,0.693888889,49.0,0.0
1,Eufaula,5,36027,599000.0,5.0,3.0,3972.0,0.0,2008.0,92.0,31.8195186,-85.1529393,5768.0,5593.0,14825.0,39.5,0.451736931,63.0,0.0
1,Abbeville,5,36310,599900.0,4.0,3.0,3160.0,32757.0,1997.0,102.0,31.6708545,-85.1140383,2408.0,296.0,5929.0,51.9,0.301568561,0.0,0.0
1,Eufaula,5,36027,419000.0,4.0,3.0,2337.0,43560.0,1978.0,106.0,31.8401119,-85.1588126,5768.0,5593.0,14825.0,39.5,0.451736931,63.0,0.0
1,Lumpkin,6,31815,339900.0,3.0,2.5,3114.0,130680.0,1990.0,123.0,32.0462132,-84.8178085,834.0,-4997.0,3515.0,34.4,0.552204836,121.0,0.0
1,Abbeville,5,36310,189500.0,2.0,2.0,1528.0,0.0,1994.0,130.0,31.7096105,-85.1352752,2408.0,296.0,5929.0,51.9,0.301568561,0.0,0.0
1,Abbeville,5,36310,339000.0,3.0,2.0,1868.0,0.0,1972.0,136.0,31.6955821,-85.1460931,2408.0,296.0,5929.0,51.9,0.301568561,0.0,0.0
1,Eufaula,5,36027,93600.0,3.0,2.0,1508.0,52272.0,1958.0,154.0,31.914365,-85.1504683,5768.0,5593.0,14825.0,39.5,0.451736931,63.0,0.0
1,Cuthbert,6,39840,229450.0,3.0,3.0,3031.0,279219.0,1921.0,161.0,31.8273,-84.87897,1732.0,999.0,4633.0,39.7,0.691560544,7.0,0.0
6,Georgetown,6,39854,149900.0,4.0,2.0,1716.0,60984.0,2002.0,237.0,31.750827,-85.098632,1021.0,820.0,2392.0,57.5,0.486622074,59.0,0.0
6,Georgetown,6,39854,159900.0,4.0,2.0,1848.0,59241.0,2002.0,237.0,31.7504232,-85.0985988,1021.0,820.0,2392.0,57.5,0.486622074,59.0,0.0
1,Eufaula,5,36027,110000.0,3.0,1.0,1300.0,13939.0,2012.0,64.0,31.9000758,-85.1630653,5768.0,5593.0,14825.0,39.5,0.451736931,63.0,0.0
1,Georgetown,6,39854,265000.0,4.0,4.0,3044.0,43560.0,1906.0,162.0,31.8848226,-85.1091535,1021.0,820.0,2392.0,57.5,0.486622074,59.0,0.0
1,Madison,7,32340,750000.0,4.0,3.0,2528.0,877733.0,2006.0,5.0,30.5025786,-83.3553752,3526.0,-12733.0,10456.0,43.3,0.439269319,9.0,0.0
6,Live Oak,7,32060,165000.0,3.0,2.0,1101.0,0.0,1971.0,6.0,30.4312635,-83.116581,7754.0,5954.0,23078.0,43.8,0.08657596,110.0,0.0
