Zipcode,Median Income ,Old Median Income,Growth
ZCTA5 02114,7358,9958,-2600
ZCTA5 02115,9455,10938,-1483
ZCTA5 02116,11707,12512,-805
ZCTA5 02118,13847,9769,4078
ZCTA5 02119,11953,4509,7444
ZCTA5 02120,4701,9739,-5038
ZCTA5 02121,10718,8216,2502
ZCTA5 02122,9004,17275,-8271
ZCTA5 02124,19395,11481,7914
ZCTA5 02125,12986,9510,3476
ZCTA5 02126,8785,14994,-6209
ZCTA5 02127,16799,14965,1834
ZCTA5 02128,16925,8083,8842
ZCTA5 02129,9278,15306,-6028
ZCTA5 02130,17609,11282,6327
ZCTA5 02131,12450,11013,1437
ZCTA5 02132,10941,8916,2025
ZCTA5 02133,0,18336,-18336
ZCTA5 02134,8082,10650,-2568
ZCTA5 02135,20040,14315,5725
ZCTA5 02136,13929,14761,-832
ZCTA5 02138,14377,8504,5873
ZCTA5 02139,15263,6158,9105
ZCTA5 02140,9437,1388,8049
ZCTA5 02141,6826,10994,-4168
ZCTA5 02142,2077,10646,-8569
ZCTA5 02143,11623,9556,2067
ZCTA5 02144,11363,22850,-11487
ZCTA5 02145,11349,15271,-3922
ZCTA5 02148,25582,11586,13996
ZCTA5 02149,17091,19522,-2431
ZCTA5 02150,13337,7630,5707
ZCTA5 02151,21663,22743,-1080
ZCTA5 02152,8242,562,7680
ZCTA5 02155,24771,24519,252
ZCTA5 02163,403,7787,-7384
ZCTA5 02169,27629,7627,20002
ZCTA5 02170,8001,11221,-3220
ZCTA5 02171,8869,8951,-82
ZCTA5 02176,11926,13220,-1294
ZCTA5 02180,9758,9038,720
ZCTA5 02184,14384,6166,8218
ZCTA5 02186,8797,6116,2681
ZCTA5 02188,7085,6591,494
ZCTA5 02189,6194,3642,2552
ZCTA5 02190,7677,823,6854
ZCTA5 02191,3444,0,3444
ZCTA5 02199,833,1088,-255
ZCTA5 02203,0,7995,-7995
ZCTA5 02205,0,21765,-21765
ZCTA5 02210,3016,11423,-8407
ZCTA5 02215,7931,1638,6293
ZCTA5 02301,22928,7961,14967
ZCTA5 02302,12164,4276,7888
ZCTA5 02322,1653,5349,-3696
ZCTA5 02324,8657,4705,3952
ZCTA5 02325,30,2836,-2806
ZCTA5 02330,4648,4683,-35
ZCTA5 02332,6092,3341,2751
ZCTA5 02333,4952,4253,699
ZCTA5 02338,2930,8205,-5275
ZCTA5 02339,4744,3658,1086
ZCTA5 02341,3850,5893,-2043
ZCTA5 02343,4695,4029,666
ZCTA5 02346,9727,12,9715
ZCTA5 02347,4162,6235,-2073
ZCTA5 02350,70,21600,-21530
ZCTA5 02351,6083,4581,1502
ZCTA5 02356,4511,0,4511
ZCTA5 02357,0,994,-994
ZCTA5 02359,6861,11909,-5048
ZCTA5 02360,24985,6756,18229
ZCTA5 02364,5321,3448,1873
ZCTA5 02366,0,2403,-2403
ZCTA5 02367,989,5269,-4280
ZCTA5 02368,12167,4999,7168
ZCTA5 02370,6654,6456,198
ZCTA5 02375,4482,8645,-4163
ZCTA5 02379,2726,13407,-10681
ZCTA5 02382,5684,7285,-1601
ZCTA5 02420,5374,4693,681
ZCTA5 02421,6927,11455,-4528
ZCTA5 02445,9225,10,9215
ZCTA5 02446,14278,4771,9507
ZCTA5 02451,7586,6522,1064
ZCTA5 02452,5215,3473,1742
ZCTA5 02453,12115,2533,9582
ZCTA5 02457,18,594,-576
ZCTA5 02458,4871,1321,3550
ZCTA5 02459,6268,4300,1968
ZCTA5 02460,3776,3022,754
ZCTA5 02461,2532,6351,-3819
